NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT01398956,An Open Label Study of L059 (Levetiracetam) in Japanese Epilepsy Subjects With Generalized Tonic-clonic Seizures,COMPLETED,Epilepsy|Generalized Tonic-clonic Seizures,DRUG: Levetiracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE3,44,Japan,2011,Industry,Completed
NCT06575413,Investigating the Role and Electrophysiological Characteristics of the Human Claustrum Based on SEEG,COMPLETED,Refractory Epilepsy|Consciousness  Loss of,OTHER: Direct Electrical Stimulation,Xuanwu Hospital  Beijing,CHILD  ADULT  OLDER_ADULT,Not Specified,8,ChiNot Specified,2024,Academic,Completed
NCT01228747,A Double-blind  Placebo-controlled Study of Levetiracetam in Epilepsy Patients With Generalized Tonic-clonic Seizures (Except Partial Seizures Evolving to Secondarily Generalized Seizures),COMPLETED,Epilepsy|Generalized Tonic-Clonic Seizures,DRUG: Levetiracetam|DRUG: Placebo,UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,361,ChiNot Specified,2010,Industry,Completed
NCT06195020,Examining the Effect of Metaverse-Based Epilepsy Education,UNKNOWN,Examining the Effect of Metaverse-based Epilepsy Education on Parents' Knowledge Level,OTHER: Metaverse|OTHER: Polyclinic information,Suleyman Demirel University,CHILD  ADULT  OLDER_ADULT,Not Specified,70,Turkey (TÃ¼rkiye),2024,Academic,Other
NCT00004729,Ketogenic Diet for Child Epilepsy and Seizure Control,COMPLETED,Epilepsy|Seizures|Lennox-Gastaut Syndrome,BEHAVIORAL: Ketogenic diet,Not SpecifiedtioNot Specifiedl Institute of Neurological Disorders and Stroke (NINDS),CHILD,Not Specified,,United States,1997,Academic,Completed
NCT02477839,Efficacy and Safety of Lacosamide as Adjunctive Therapy in Subjects â‰¥1 Month to <4 Years With Partial-onset Seizures,COMPLETED,Epilepsy With Partial-onset Seizures,DRUG: Lacosamide|OTHER: Placebo,UCB BIOSCIENCES  Inc.,CHILD,PHASE3,255,United States,2015,Industry,Completed
NCT00207935,Use of Sustained Release Antiepileptic Medication (DepakoteÂ® ER) for Pediatric Epilepsy in a Mental Retardation/Developmental Disorder Population,COMPLETED,Epilepsy|Mental Retardation|Developmental Disabilities,BEHAVIORAL: Swallow instruction,Children's Not SpecifiedtioNot Specifiedl Research Institute,CHILD  ADULT,PHASE4,20,United States,2005,Academic,Completed
NCT03533530,Clinical Utility of ESI in Presurgical Evaluation of Patients With Epilepsy,COMPLETED,Electroencephalography|Refractory Epilepsy|Brain Imaging|Surgery,DIAGNOSTIC_TEST: Low-density ESI (LD ESI)|DIAGNOSTIC_TEST: High-density ESI (HD ESI)|DIAGNOSTIC_TEST: No electrical source imaging (ESI),Rigshospitalet  Denmark,CHILD  ADULT  OLDER_ADULT,Not Specified,82,Denmark,2015,Academic,Completed
NCT05881928,Effect of Adding Lamotrigine to Sodium Valproate in Childhood Epilepsy: Clinicolabratory Study,NOT_YET_RECRUITING,Epilepsy|Lamotrigine|Sodium Valproate Adverse Reaction,DRUG: Sodium Valproate 500 Mg Prolonged-Release Oral Tablet|DRUG: Lamotrigine|DEVICE: E.E.G,Assiut University,CHILD,PHASE4,50,,2024,Academic,Other
NCT05738226,EpiCare@Home Validation Study for Focal Onset Seizures,WITHDRAWN,Epilepsy|Seizures|Seizures  Focal|Seizure  Refractory,DEVICE: EpiCare@Home  wearable multimodal seizure monitoring system,Byteflies,CHILD  ADULT  OLDER_ADULT,Not Specified,0,United States,2023,Government/Other,Other
NCT05112107,Evaluation Of Strategies For Improving Ketogenic Diet Compliance,UNKNOWN,Epilepsy|Ketogenic Dieting|Compliance  Treatment,BEHAVIORAL: CuliNot Specifiedry workshops,University of Sao Paulo General Hospital,CHILD  ADULT,Not Specified,20,Brazil,2021,Academic,Other
NCT00566254,Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures (CATZ Study),COMPLETED,Epilepsy; Paediatric Partial Onset Seizures,DRUG: Zonisamide|DRUG: Placebo,Eisai Inc.,CHILD,PHASE3,207,Belgium,2008,Industry,Completed
